Season,Rank,Player,Age,Team,Position,Games,GamesStarted,MinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,TotalRebounds,Assists,PersonalFouls,Points,Awards
1972-73,85.0,Jerry Lucas,32.0,NYK,PF,71.0,38.0,28.2,4.4,8.6,0.513,1.1,1.4,0.8,7.2,4.5,2.2,9.9,
1972-73,86.0,John Trapp,27.0,2TM,SF,44.0,11.0,20.2,3.9,9.5,0.407,2.0,2.8,0.738,4.5,1.1,3.4,9.8,
1972-73,86.0,John Trapp,27.0,LAL,SF,5.0,,7.0,0.6,2.4,0.25,1.4,2.0,0.7,2.8,0.4,2.0,2.6,
1972-73,86.0,John Trapp,27.0,PHI,SF,39.0,11.0,21.9,4.3,10.5,0.412,2.1,2.9,0.741,4.8,1.2,3.6,10.7,
1972-73,87.0,John Mengelt,23.0,2TM,SG,79.0,,20.8,4.1,8.2,0.492,1.6,2.0,0.794,2.3,1.9,1.9,9.7,
1972-73,87.0,John Mengelt,23.0,KCO,SG,12.0,,17.7,2.2,5.7,0.382,0.9,1.6,0.579,1.8,2.1,2.0,5.3,
1972-73,87.0,John Mengelt,23.0,DET,SG,67.0,,21.4,4.4,8.7,0.504,1.7,2.1,0.823,2.4,1.9,1.9,10.5,
1972-73,88.0,Stu Lantz,26.0,DET,SG,51.0,,31.4,3.6,8.9,0.407,2.4,2.9,0.8,3.4,2.7,2.3,9.6,
1972-73,89.0,Jon McGlocklin,29.0,MIL,SG,80.0,,24.4,4.4,8.7,0.502,0.8,0.9,0.863,2.0,3.0,1.5,9.6,
1972-73,90.0,Mike Davis,26.0,BAL,SG,13.0,,21.8,3.8,9.1,0.424,1.8,1.9,0.92,2.7,1.5,3.5,9.5,
1972-73,91.0,Dwight Davis,23.0,CLE,PF,81.0,,26.6,3.6,9.2,0.392,2.2,2.7,0.793,7.0,1.5,3.7,9.4,
1972-73,92.0,Don Adams,25.0,2TM,SF,74.0,,25.3,3.6,9.2,0.391,2.0,2.5,0.788,6.0,1.6,3.1,9.1,
1972-73,92.0,Don Adams,25.0,ATL,SF,4.0,,19.0,2.0,9.5,0.211,1.8,2.0,0.875,5.5,1.3,2.8,5.8,
1972-73,92.0,Don Adams,25.0,DET,SF,70.0,,25.7,3.7,9.1,0.402,2.0,2.5,0.784,6.0,1.6,3.1,9.3,
1972-73,93.0,Matt Guokas,28.0,KCO,SG,79.0,,36.0,4.1,7.2,0.57,0.9,1.1,0.822,3.1,5.1,2.4,9.1,
1972-73,94.0,Curtis Perry,24.0,MIL,PF,67.0,,31.3,4.0,8.6,0.461,1.2,1.9,0.659,9.6,1.8,3.7,9.1,
1972-73,95.0,Keith Erickson,28.0,LAL,SF,76.0,,25.3,3.9,9.2,0.43,1.2,1.4,0.809,4.4,3.2,2.5,9.0,
1972-73,96.0,Charlie Davis,23.0,2TM,SG,75.0,,18.9,3.5,8.4,0.417,1.7,2.2,0.774,1.5,2.5,2.6,8.7,
1972-73,96.0,Charlie Davis,23.0,CLE,SG,6.0,,14.3,3.3,6.8,0.488,0.7,1.2,0.571,0.8,1.7,3.3,7.3,
1972-73,96.0,Charlie Davis,23.0,POR,SG,69.0,,19.3,3.5,8.6,0.412,1.8,2.3,0.783,1.6,2.5,2.5,8.9,
1972-73,97.0,Zaid Abdul-Aziz,26.0,HOU,C,48.0,,18.8,3.1,7.8,0.397,2.5,3.4,0.735,6.3,1.1,2.3,8.7,
1972-73,98.0,Fred Foster,26.0,DET,SF,63.0,,23.2,3.9,10.0,0.388,1.0,1.4,0.701,2.9,1.5,2.4,8.7,
1972-73,99.0,Bob Weiss,30.0,CHI,PG,82.0,19.0,25.4,3.4,8.0,0.426,1.9,2.3,0.841,1.8,3.6,1.8,8.7,
1972-73,100.0,Clifford Ray,24.0,CHI,C,73.0,50.0,27.5,3.5,7.1,0.492,1.6,2.6,0.619,10.9,3.7,3.2,8.6,
1972-73,101.0,Don Kojis,34.0,KCO,SF,77.0,,16.1,3.6,7.5,0.48,1.4,1.8,0.774,2.6,1.0,1.7,8.5,
1972-73,102.0,Rich Rinaldi,23.0,BAL,SG,33.0,,19.6,3.5,8.6,0.408,1.5,1.9,0.75,2.1,1.5,1.2,8.5,
1972-73,103.0,Ron Riley,22.0,KCO,PF,74.0,,22.1,3.7,8.6,0.431,1.1,1.6,0.681,6.9,1.0,3.1,8.4,
1972-73,104.0,Willie Norwood,25.0,DET,SF,79.0,,16.2,3.2,6.4,0.494,1.9,2.8,0.684,4.1,0.7,2.3,8.3,
1972-73,105.0,Bingo Smith,26.0,CLE,SG,73.0,,14.6,3.7,8.3,0.444,0.9,1.1,0.79,2.7,1.5,1.1,8.2,
1972-73,106.0,Phil Jackson,27.0,NYK,PF,80.0,4.0,17.4,3.1,6.9,0.443,1.9,2.4,0.79,4.3,1.2,2.7,8.1,
1972-73,107.0,John Hummer,24.0,BUF,PF,66.0,,23.4,3.1,7.0,0.444,1.7,3.1,0.561,4.9,2.1,2.8,8.0,
1972-73,108.0,Don May,27.0,2TM,SF,58.0,0.0,15.8,3.3,7.3,0.446,1.3,1.6,0.806,3.6,1.1,2.3,7.8,
1972-73,108.0,Don May,27.0,ATL,SF,32.0,,9.9,1.9,4.2,0.455,0.7,1.0,0.71,2.1,0.7,1.7,4.5,
1972-73,108.0,Don May,27.0,PHI,SF,26.0,0.0,23.2,4.9,11.2,0.441,2.0,2.4,0.855,5.5,1.7,3.1,11.9,
1972-73,109.0,Dave Wohl,23.0,2TM,PG,78.0,,24.8,3.3,7.3,0.447,1.3,1.7,0.774,1.4,4.2,2.9,7.8,
1972-73,109.0,Dave Wohl,23.0,POR,PG,22.0,,17.9,2.1,5.2,0.412,1.1,1.5,0.727,0.9,3.1,2.0,5.4,
1972-73,109.0,Dave Wohl,23.0,BUF,PG,56.0,,27.5,3.7,8.1,0.456,1.4,1.8,0.79,1.6,4.6,3.3,8.8,
1972-73,110.0,Gus Johnson,34.0,PHO,PF,21.0,,19.9,3.3,8.6,0.381,1.2,1.7,0.694,6.5,1.5,2.6,7.8,
1972-73,111.0,Cliff Meely,25.0,HOU,PF,82.0,,20.7,3.3,8.0,0.408,1.1,1.7,0.672,6.0,1.1,3.2,7.7,
1972-73,112.0,Jeff Halliburton,23.0,2TM,SG,55.0,0.0,14.3,3.1,7.2,0.434,1.3,1.6,0.807,2.0,1.7,1.9,7.5,
1972-73,112.0,Jeff Halliburton,23.0,ATL,SG,24.0,,9.9,2.1,4.8,0.431,0.9,0.9,0.955,1.1,1.2,1.2,5.0,
1972-73,112.0,Jeff Halliburton,23.0,PHI,SG,31.0,0.0,17.7,3.9,9.0,0.436,1.6,2.1,0.758,2.6,2.2,2.5,9.5,
1972-73,113.0,Pat Riley,27.0,LAL,SG,55.0,,14.6,3.0,7.1,0.428,1.2,1.5,0.793,1.2,1.5,2.3,7.3,
1972-73,114.0,Fred Hilton,25.0,BUF,SG,59.0,,12.4,3.2,8.4,0.387,0.7,0.9,0.774,1.7,1.3,1.7,7.2,
1972-73,115.0,Greg Smith,26.0,2TM,SF,76.0,,21.2,3.1,6.4,0.482,1.0,1.7,0.586,5.0,1.6,2.9,7.1,
1972-73,115.0,Greg Smith,26.0,HOU,SF,4.0,,10.3,1.3,4.0,0.313,0.0,0.0,,2.0,1.3,2.0,2.5,
1972-73,115.0,Greg Smith,26.0,POR,SF,72.0,,21.8,3.2,6.5,0.488,1.0,1.8,0.586,5.2,1.6,2.9,7.4,
1972-73,116.0,Johnny Green,39.0,KCO,PF,66.0,,18.9,2.9,4.8,0.599,1.3,2.0,0.679,5.5,0.9,2.8,7.1,
1972-73,117.0,Mo Layton,24.0,PHO,SG,65.0,,15.2,2.9,6.7,0.431,1.4,1.8,0.756,1.2,2.1,2.0,7.1,
1972-73,118.0,Flynn Robinson,31.0,2TM,SG,44.0,,14.3,3.0,6.5,0.462,0.7,0.9,0.821,1.4,1.9,1.6,6.8,
