Season,Rank,Player,Age,Team,Position,Games,GamesStarted,MinutesPlayed,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPercentage,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assists,Steals,Blocks,PersonalFouls,Points,Awards
1973-74,165.0,Lamar Green,26.0,PHO,PF,72.0,,15.3,1.8,4.4,0.407,0.5,0.9,0.559,1.2,3.7,4.9,0.6,0.4,0.5,2.1,4.1,
1973-74,166.0,Manny Leaks,28.0,CAP,C,53.0,,15.9,1.5,4.4,0.341,1.1,1.6,0.699,1.8,2.8,4.6,0.5,0.2,0.7,1.8,4.1,
1973-74,167.0,Ron Riley,23.0,2TM,PF,48.0,,12.3,1.7,4.2,0.401,0.5,0.8,0.632,1.0,2.7,3.7,0.8,0.4,0.5,2.0,3.9,
1973-74,167.0,Ron Riley,23.0,KCO,PF,12.0,,14.2,2.0,4.8,0.421,1.2,2.0,0.583,1.1,3.6,4.7,0.7,0.3,0.2,2.3,5.2,
1973-74,167.0,Ron Riley,23.0,HOU,PF,36.0,,11.7,1.6,4.0,0.393,0.3,0.4,0.714,1.0,2.4,3.4,0.8,0.4,0.6,1.9,3.4,
1973-74,168.0,Ken Charles,22.0,BUF,SG,59.0,,11.7,1.5,3.1,0.476,0.9,1.3,0.671,0.4,0.7,1.1,0.9,0.5,0.2,1.5,3.9,
1973-74,169.0,Charlie Davis,24.0,POR,SG,8.0,,11.3,1.8,5.0,0.35,0.4,0.5,0.75,0.3,1.1,1.4,1.4,0.3,0.0,0.9,3.9,
1973-74,170.0,Phil Hankinson,22.0,BOS,SF,28.0,,5.8,1.8,3.7,0.485,0.4,0.5,0.769,0.8,1.0,1.8,0.1,0.1,0.0,0.6,3.9,
1973-74,171.0,Rowland Garrett,23.0,CHI,SF,41.0,0.0,9.1,1.7,4.5,0.37,0.5,0.8,0.656,0.8,1.0,1.7,0.3,0.1,0.2,1.0,3.8,
1973-74,172.0,Walt Hazzard,31.0,SEA,PG,49.0,,11.7,1.6,3.7,0.422,0.7,0.9,0.756,0.4,0.8,1.2,2.5,0.5,0.1,1.6,3.8,
1973-74,173.0,Kermit Washington,22.0,LAL,PF,45.0,,8.9,1.6,3.4,0.483,0.6,1.1,0.531,1.4,1.9,3.3,0.4,0.5,0.4,1.7,3.8,
